src,dest,ret_count,tot_count
WY,MI,41,55
SD,NE,2005,2648
IL,DE,459,636
CA,WY,774,1020
KS,NM,491,661
UT,MA,856,1161
ND,NE,288,348
MO,SD,723,980
CT,PA,5450,7417
ME,CO,229,308
ND,NC,102,144
VT,OH,208,268
KY,GA,4609,6251
WV,AL,272,365
AZ,CT,494,652
CT,VA,3156,4212
DC,NE,87,105
ND,OK,166,196
DE,WY,12,17
ID,WA,4030,5983
NV,SC,232,321
OH,PA,20437,29095
CO,CT,600,763
TN,MN,1628,2190
TN,MS,6918,10032
NE,AL,275,363
TX,MD,5530,7276
KS,IL,3994,5295
DE,IA,46,58
OH,WI,3996,5769
AL,OR,355,474
NC,ME,940,1285
WA,NV,2227,2946
PA,IL,8142,10851
KY,CO,1050,1418
AL,IA,415,555
OH,VA,9166,12395
DC,UT,135,175
KY,OR,298,401
PA,MA,8182,11085
TN,NH,314,417
TX,NH,763,947
VA,ME,861,1177
VT,CT,558,759
TN,MD,1978,2604
KY,WY,88,122
FL,MI,4085,5752
MS,NJ,310,442
MA,AR,301,377
SC,NC,28151,41965
PA,SD,279,355
MO,VA,2425,3205
RI,WA,96,124
OR,DE,51,58
CA,GA,6522,8640
ME,CT,1268,1669
NY,AR,652,858
NV,IL,1167,1630
LA,AL,5950,8140
UT,WY,1782,2678
AZ,VA,1804,2361
NV,NJ,471,661
NC,CA,11914,17551
LA,MS,7901,11242
NC,MN,2543,3340
ME,MS,63,97
AZ,PA,1758,2398
KS,SD,523,723
MT,SC,69,120
LA,NH,55,70
DE,VT,41,45
NM,IA,93,120
NY,NV,1531,2061
VA,NJ,7396,10154
VT,DC,131,163
OK,ID,150,204
NV,AL,217,307
NY,CA,13499,18940
MA,CA,7843,10923
MA,NV,715,931
KY,KY,24075,35463
OK,OK,27814,40177
WI,MI,3597,4908
LA,MI,370,516
ME,MA,5281,7350
WY,MO,137,182
KY,LA,975,1311
UT,MO,774,1037
UT,WV,66,81
TN,FL,16986,25125
OK,AZ,1230,1592
TN,GA,19383,27980
VT,NE,16,20
NM,ME,49,82
WV,ID,22,28
IA,NH,79,93
LA,AR,2890,4196
DC,OH,592,793
KY,MA,786,1057
OR,KY,229,286
AL,NC,3798,5341
FL,SC,12844,17380
MI,DE,304,386
MS,CT,97,126
WA,WY,477,606
ND,NH,10,11
KY,NJ,963,1340
IA,MT,189,258
NH,ME,2551,3548
KY,IL,4925,6771
NH,WY,33,40
AR,UT,274,378
NM,KY,87,115
MI,MD,2020,2604
ND,MD,70,101
VT,UT,67,94
CO,WY,3820,5445
DE,MA,468,631
WA,AR,349,478
KY,TX,3477,4920
CO,NJ,1761,2407
AL,UT,589,870
NJ,WI,1056,1447
TN,KY,10877,15658
MI,IN,12044,16758
SC,MN,870,1146
RI,CT,1246,1718
FL,ND,283,405
ND,GA,133,181
UT,GA,1050,1424
SC,MS,1114,1514
ID,IN,174,240
IL,NE,2869,3705
SC,VA,7616,10749
FL,MN,3432,4556
ME,CA,741,1048
WV,SC,1080,1444
MO,WI,2211,3055
MS,MI,333,462
MS,LA,8449,12658
WI,DE,130,177
CT,CA,3288,4689
WA,TX,5796,7914
TX,MA,6915,9411
ME,MN,185,230
VT,MO,80,101
MA,KY,720,898
TN,MA,2064,2784
SC,GA,19700,28779
OK,SC,430,556
CO,KS,3484,4594
MA,NM,238,304
TN,IL,7074,9776
LA,MD,565,713
AR,NV,345,481
NH,KS,88,102
CO,TX,14053,20425
LA,MN,379,489
NV,LA,478,693
DC,ME,128,169
SD,OR,96,133
MS,NM,159,239
NH,TX,1083,1482
ND,ME,21,24
ND,WY,166,227
IA,ID,169,245
ND,OR,75,98
ID,WI,187,271
KS,WI,939,1294
MI,NH,345,445
MS,NY,738,1008
CA,WV,282,354
VA,TX,10000,13744
WA,LA,861,1132
MT,NM,110,139
NM,IL,522,651
CA,MO,3958,5020
MD,MT,146,194
KS,PA,1209,1700
GA,MN,2576,3421
FL,WV,1008,1305
NY,FL,22396,31668
GA,CA,13009,19281
NV,NY,1100,1562
MI,MT,240,320
AZ,KS,685,894
WA,KY,539,681
MA,FL,9340,12874
MT,MI,109,141
NM,MA,197,270
NC,KS,1112,1437
DE,TX,611,843
SD,AL,84,115
PA,WV,4208,5840
NE,ID,151,226
FL,MO,4542,6001
DC,AL,276,366
WA,NM,654,848
UT,NH,95,129
PA,MO,2520,3223
CA,SC,1771,2361
CT,IA,237,306
OH,GA,9294,12577
CO,VA,3576,4787
MI,MI,46195,65556
FL,AZ,5224,7175
PA,AZ,2720,3694
MO,MA,1423,1871
NH,PA,1622,2274
VT,RI,223,269
MD,MI,1252,1674
NM,CT,52,76
CA,OK,2031,2641
CT,CO,760,987
NC,FL,27703,40837
DE,FL,1363,1922
OH,FL,19437,28210
OR,NV,1035,1366
CO,PA,2855,3807
VA,SD,272,395
ME,WY,30,34
DC,KS,66,82
TN,SC,5658,7799
PA,WA,1777,2461
FL,OK,1996,2698
SC,OK,613,871
NJ,WA,1141,1540
NV,IN,294,419
RI,MD,439,568
KY,SD,157,212
NH,OH,735,978
CT,WY,49,62
AL,GA,19605,28489
NJ,NC,6309,8418
LA,FL,7236,10324
NE,SC,271,386
CA,DC,3984,5085
DC,IL,1015,1273
KY,CT,309,393
AR,ME,73,101
AL,FL,15763,23083
TX,MO,10483,13937
MT,AL,55,76
NY,TX,8541,11746
DE,CT,340,415
VT,CO,160,234
GA,KY,5040,6668
MA,TX,4692,6183
VT,PA,503,653
KS,UT,499,702
TX,WV,974,1318
NC,GA,27517,38799
NC,CT,2040,2695
SD,MI,135,177
AR,KY,854,1215
PA,DC,4170,5219
ND,MA,72,90
OK,ND,222,330
OH,MS,1067,1479
ME,FL,1327,1894
AR,CO,1056,1380
GA,MI,2929,4149
FL,NC,19275,26435
OH,MN,3276,4289
NJ,NY,18733,26283
NC,MS,1836,2445
OR,MT,654,915
OR,NH,71,91
PA,NC,10344,13779
NM,VT,15,18
OH,CA,10986,16352
WY,AZ,312,426
NJ,NE,303,370
MT,MD,85,118
UT,AZ,3219,4526
WV,OH,4537,6259
ME,GA,463,590
RI,OK,53,66
PA,NE,586,737
NV,KS,225,322
RI,AZ,129,170
ME,NY,2176,3042
MO,IA,4636,6489
CA,NC,5320,7004
SD,ID,71,90
MN,MI,2439,3375
WY,OK,141,183
PA,NY,25781,37241
WV,ND,17,24
AL,ME,207,286
KY,NY,2184,3057
WY,MT,1039,1345
NH,RI,880,1117
IL,AL,3018,3991
CT,KY,439,562
CA,AZ,23951,32063
KY,NE,289,384
WY,NH,16,25
IA,TN,1701,2313
TN,OH,6153,8597
TN,ND,138,185
CO,RI,234,285
AL,CO,1674,2299
DE,CO,159,203
WA,RI,146,171
MN,WV,137,175
MN,SC,877,1171
WI,ID,307,405
AZ,NC,1650,2215
AZ,SD,278,365
AL,WY,136,196
AZ,WI,1033,1432
WV,NV,105,142
AL,MD,1300,1747
AL,MS,7486,10992
AR,FL,3160,4443
VA,RI,781,998
DC,AZ,334,411
AL,NH,156,208
IN,NV,966,1289
CO,IN,1649,2185
GA,NC,22489,31729
DE,MN,133,183
NC,PA,10478,14313
ME,AL,124,181
NC,ND,221,345
IL,TN,11164,14932
MO,OR,716,947
NC,OH,7498,10218
DE,OH,555,751
ND,ID,64,76
